field,v1,v2,v3,field.size,bqi,crop.hist,crop1,crop2,count1,count2,count3,,logFS
1,1,1,1,14,y,crop,1,0,1,2,2,,1.146128036
2,1,1,0,12.7,y,crop,1,0,2,2,0,,1.103803721
3,0,0,0,15.7,n,mixed,0,1,0,0,0,,1.195899652
4,0,1,0,19.5,n,mixed,0,1,0,2,0,,1.290034611
5,1,0,1,13.5,n,crop,1,0,1,0,1,,1.130333768
6,0,0,1,9.6,n,mixed,0,1,0,0,2,,0.982271233
7,0,0,1,44,y,crop,1,0,0,0,1,,1.643452676
8,1,1,1,9.4,y,crop,1,0,1,3,1,,0.973127854
9,1,1,0,19.6,n,mixed,0,1,4,2,0,,1.292256071
10,1,1,1,7,n,mixed,0,1,4,3,4,,0.84509804
11,1,1,0,20.9,y,crop,1,0,3,2,0,,1.320146286
12,0,0,0,17.8,y,crop,1,0,0,0,0,,1.250420002
13,0,0,0,14.4,y,crop,1,0,0,0,0,,1.158362492
14,0,0,1,24.9,y,crop,1,0,0,0,1,,1.396199347
15,1,1,1,6.4,y,crop,1,0,1,2,2,,0.806179974
16,0,0,1,53.9,y,crop,1,0,1,0,2,,1.731588765
17,0,0,1,10.3,n,crop,1,0,0,0,1,,1.012837225
18,0,0,0,12,n,crop,1,0,0,0,0,,1.079181246
19,0,1,1,6.8,n,mixed,0,1,0,3,3,,0.832508913
20,0,0,0,17.6,n,crop,1,0,0,0,0,,1.245512668
21,1,0,0,18.8,n,crop,1,0,1,0,0,,1.274157849
22,0,1,0,28,n,crop,1,0,0,3,0,,1.447158031
23,1,0,0,7.9,n,crop,1,0,1,0,0,,0.897627091
24,1,1,1,38.3,n,crop,1,0,3,1,1,,1.583198774
25,1,1,1,15.9,n,crop,1,0,1,2,2,,1.201397124
26,0,1,1,11.3,n,crop,1,0,0,1,1,,1.053078443
27,0,0,1,10.5,n,crop,1,0,0,0,1,,1.021189299
28,0,1,0,10.3,y,crop,1,0,0,1,0,,1.012837225
29,1,1,0,18.2,n,mixed,0,1,1,1,0,,1.260071388
30,0,1,1,23,n,mixed,0,1,0,2,2,,1.361727836
31,0,0,0,30.2,n,crop,1,0,0,0,0,,1.480006943
32,1,1,1,6.7,n,crop,1,0,2,1,2,,0.826074803
33,1,0,0,10,n,crop,1,0,1,0,0,,1
34,1,1,0,10,n,crop,1,0,4,1,0,,1
35,0,0,0,18.1,y,crop,1,0,0,0,0,,1.257678575
36,0,0,0,6.8,y,crop,1,0,0,0,0,,0.832508913
37,0,1,0,9.2,n,mixed,0,0,0,1,0,,0.963787827
38,0,1,1,10.7,n,mixed,0,0,0,1,1,,1.029383778
39,1,1,1,9,n,mixed,0,0,1,1,4,,0.954242509
40,1,0,1,9.1,n,mixed,0,0,2,0,2,,0.959041392
41,0,1,0,10.4,y,mixed,0,1,0,3,0,,1.017033339
